id,image_id,caption,animal_names
1,1,An worn out rainbow colored park bench seat,
2,1,A slatted park bench that appears to be painted with the colors of the rainbow in the sun and shade.,
3,1,A bench in a park with the back slats painted in rainbow colors.,
4,1,A wooden bench on a pavement in the city,
5,1,The bench is painted brightly with rainbow colors.,
6,2,An empty street with sand blowing across it,
7,2,a yellow sign on an empty open road,
8,2,A secluded road with light poles and sand from the side.,
9,2,a paved highway lined by trees and a small sign in the distance,
10,2,A deserted road running alongside a dense forest.,
11,3,Two men in suits are looking over children playing with an electronics device.,
12,3,Two men watching children sit at a table. ,
13,3,Two men overlooking the activities of students on small computers. ,
14,3,Several kids who are working on laptop computers while two adults look on.,
15,3,A group of children playing a game at a competition,
16,4,A baseball player swinging a bat during a baseball game.,
17,4,a kid swinging a bat during a baseball game,
18,4,A black and white photo of a kids baseball game.,
19,4,A black and white photo of a baseball game in action.,
20,4,An outdoor baseball diamond and batter with arms and bat outstretched.,
21,5,Several different sails can be seen above the water.,
22,5,there are many kites that are being flown over the beach,
23,5,A group of kites fly over turbulent waves.,
24,5,A PICTURE OF SEAGULLS FLYING IN THE SKY AT A BEACH ,
25,5,a beachfront next to a body of water.,
26,6,A green and white bus pulling into a bus stop.,
27,6,A bus parked at a city pick up location.,
28,6,AN overhead view of a city street and snowy field,
29,6,Large city bus at a stop with a field of snow next to it. ,
30,6,a bus parking on the side of the road behind a truck,
31,7,A baby laying next to a teddy bear.,
32,7,The baby is lying beside a stuffed bear. ,
33,7,A child is sleeping next to a teddy bear.,
34,7,A small infant that is sleeping on a red blanket with it's head next to the head of a stuffed animal teddy bear.,
35,7,A baby is sleeping next to a Winnie the Pooh toy.,
36,8,A bus crash with emergency workers surrounding it next to a busy street.,
37,8,Giant legos being guarded by men in official gear.,
38,8,Group of men in safety gear next to a bus with emergency equipment,
39,8,A group of construction workers stand near a city bus.,
40,8,A bus on a lot next to a construction site and workers.,
41,9,A pen and a photograph of a cupcake sitting on a table with a tiny cupcake on it.,
42,9,a larger cup cake and a small one on a napkin next to an ink pen,
43,9,A cupcake is sitting next to a card with a cupcake on top of it.,
44,9,A cupcake matching a picture at a desk at work.,
45,9,A table topped with a cupcake on a picture of a cupcake.,
46,10,a close up of many different tooth brushes wrapped in plastic,
47,10,Several different toothbrushes still inside of the package.,
48,10,I am unable to see an image above.,
49,10,A bunch of tooth brushes sitting next to each other.,
50,10,Many toothbrushes are in their plastic packages on display.,
51,11,The man holding a plate of pizza smiles at a dog nearby.,
52,11,A small pug dog looking at a mans plate of food.,
53,11,A man holding a plate with pizza on it while his dog looks at the food. ,
54,11,A man and his dog are watching each other over a plate of food.,
55,11,A pug eyeing its owners food as he eats it.,
56,12,A man skateboarding with other skateboarders behind him.,
57,12,A man in brown shirt running with a skateboard.,
58,12,The young skater is running with his board in hand.,
59,12,A man with a skateboard runs on the pavement.,
60,12,A man wearing a backwards hat is about to jump on his skateboard. ,
61,13,Older man and woman cutting a two tier cake next to a window.,
62,13,An older couple cuts a small wedding cake.,
63,13,A man and a woman cutting a slice from a cake on a table.,
64,13,A man and a woman are cutting a cake.,
65,13,An older couple cuts into a wedding cake.,
66,14,A young man rides up a ramp on his skateboard.,
67,14,Boys are doing skateboarding tricks on a ramp.,
68,14,two boys are in the park with their skateboard  but only one is skating.,
69,14,A male  skateboarder maneuvering up a ramp with someone watching.,
70,14,A PERSON IN JEANS PRACTICING SKATE TRICKS ON A RAMP.,
71,15,A boy catching a frisbee while another boy watches. ,
72,15,two males are on some grass playing frisbee,
73,15,Person reaching up high to catch a Frisbee.,
74,15,One man is catching a Frisbee while another watches in the background.,
75,15,A man looks on as another man catches a frisbee.,
76,16,A woman that is standing up with a umbrella.,
77,16,A small group of people on the sidewalk with a few holding umbrellas.,
78,16,People are standing on a street corner holding umbrellas.,
79,16,A woman in a dress and heels with an umbrella.,
80,16,A woman in a yellow and brown dress holding an umbrella.,
81,17,A young man eating a chocolate donut with sprinkles on it.,
82,17,Man eating a donut gives a thumbs up sign,
83,17,A man is putting a doughnut in his mouth with a thumbs up.,
84,17,a man with his thumb up as he eats a slice of pizza,
85,17,A man in a white shirt and tie eating a doughnut.,
86,18,two people riding a motorcycle on a city street ,
87,18,Two mean in casual attire ridge a scooter.,
88,18,A couple of men riding a motor scooter down a street.,
89,18,The two people are riding on a black bike,
90,18,A couple of people on a moped speeding past a box on the street,
91,19,A group of men carrying surfboards on a beach.,
92,19,Three surfers on a beach heading for the waves.,
93,19,Some people are going to go surfing in the ocean.,
94,19,Three surfers walking along the beach after a swim.,
95,19,A few people are walking on the beach carrying surfboards.,
96,20,Several umbrella's and chairs gathered around at a beach.,
97,20,a beach with beach chairs and raised umbrellas.,
98,20,A sandy beach is full of blue umbrellas.,
99,20,Many blue beach umbrellas near lounge chairs at the beach,
100,20,Several beach umbrellas are up next to  lounges with a view of the beach.,
